Geography,HospRate
Financial District (CD1),0.6
Greenwich Village and Soho (CD2),0.3
Lower East Side and Chinatown (CD3),0.8
Clinton and Chelsea (CD4),0.7
Midtown (CD5),1.2
Stuyvesant Town and Turtle Bay (CD6),0.7
Upper West Side (CD7),0.9
Upper East Side (CD8),0.6
Morningside Heights and Hamilton Heights (CD9),1.7
Central Harlem (CD10),1.5
East Harlem (CD11),2.3
Washington Heights and Inwood (CD12),0.9
Mott Haven and Melrose (CD1),2.3
Hunts Point and Longwood (CD2),2.2
Morrisania and Crotona (CD3),1.9
Highbridge and Concourse (CD4),2.9
Fordham and University Heights (CD5),1.8
Belmont and East Tremont (CD6),2.5
Kingsbridge Heights and Bedford (CD7),1.9
Riverdale and Fieldston (CD8),1.1
Parkchester and Soundview (CD9),2.3
Throgs Neck and Co-op City (CD10),1.2
Morris Park and Bronxdale (CD11),1.9
Williamsbridge and Baychester (CD12),2.4
Greenpoint and Williamsburg (CD1),0.8
Fort Greene and Brooklyn Heights (CD2),1.9
Bedford Stuyvesant (CD3),2.4
Bushwick (CD4),3.1
East New York and Starrett City (CD5),2.1
Park Slope and Carroll Gardens (CD6),1.1
Sunset Park (CD7),2.1
Crown Heights and Prospect Heights (CD8),2.3
South Crown Heights and Lefferts Gardens (CD9),2.9
Bay Ridge and Dyker Heights (CD10),1.5
Bensonhurst (CD11),0.9
Borough Park (CD12),1.1
Coney Island (CD13),1.7
Flatbush and Midwood (CD14),1.4
Sheepshead Bay (CD15),1
Brownsville (CD16),3.6
East Flatbush (CD17),1.9
Flatlands and Canarsie (CD18),1.3
Long Island City and Astoria (CD1),1.1
Woodside and Sunnyside (CD2),0.5
Jackson Heights (CD3),1
Elmhurst and Corona (CD4),0.9
Ridgewood and Maspeth (CD5),1.5
Rego Park and Forest Hills (CD6),0.7
Flushing and Whitestone (CD7),0.4
Hillcrest and Fresh Meadows (CD8),0.9
Kew Gardens and Woodhaven (CD9),1.3
South Ozone Park and Howard Beach (CD10),1
Bayside and Little Neck (CD11),1
Jamaica and Hollis (CD12),1.9
Queens Village (CD13),0.7
Rockaway and Broad Channel (CD14),0.9
St. George and Stapleton (CD1),2.9
South Beach and Willowbrook (CD2),1.6
Tottenville and Great Kills (CD3),1.4