Geography,Mean_ppb
Financial District (CD1),28
Greenwich Village and Soho (CD2),27.9
Lower East Side and Chinatown (CD3),28.4
Clinton and Chelsea (CD4),27.3
Midtown (CD5),26.9
Stuyvesant Town and Turtle Bay (CD6),27.2
Upper West Side (CD7),27.8
Upper East Side (CD8),27.8
Morningside Heights and Hamilton Heights (CD9),28.6
Central Harlem (CD10),28.6
East Harlem (CD11),28.3
Washington Heights and Inwood (CD12),27.6
Mott Haven and Melrose (CD1),28.8
Hunts Point and Longwood (CD2),29.1
Morrisania and Crotona (CD3),29.4
Highbridge and Concourse (CD4),28.9
Fordham and University Heights (CD5),28.9
Belmont and East Tremont (CD6),29.5
Kingsbridge Heights and Bedford (CD7),29.8
Riverdale and Fieldston (CD8),29.1
Parkchester and Soundview (CD9),29.7
Throgs Neck and Co-op City (CD10),30.7
Morris Park and Bronxdale (CD11),30.3
Williamsbridge and Baychester (CD12),30.3
Greenpoint and Williamsburg (CD1),27.8
Fort Greene and Brooklyn Heights (CD2),28.6
Bedford Stuyvesant (CD3),29.6
Bushwick (CD4),30.4
East New York and Starrett City (CD5),31.3
Park Slope and Carroll Gardens (CD6),28.9
Sunset Park (CD7),28.9
Crown Heights and Prospect Heights (CD8),29.9
South Crown Heights and Lefferts Gardens (CD9),30.6
Bay Ridge and Dyker Heights (CD10),29.7
Bensonhurst (CD11),31.2
Borough Park (CD12),30.4
Coney Island (CD13),32.4
Flatbush and Midwood (CD14),30.4
Sheepshead Bay (CD15),31.8
Brownsville (CD16),30.8
East Flatbush (CD17),31
Flatlands and Canarsie (CD18),32.2
Long Island City and Astoria (CD1),30.4
Woodside and Sunnyside (CD2),28
Jackson Heights (CD3),30.4
Elmhurst and Corona (CD4),30.3
Ridgewood and Maspeth (CD5),29.7
Rego Park and Forest Hills (CD6),30.2
Flushing and Whitestone (CD7),30.8
Hillcrest and Fresh Meadows (CD8),30.3
Kew Gardens and Woodhaven (CD9),31.1
South Ozone Park and Howard Beach (CD10),32.4
Bayside and Little Neck (CD11),30.3
Jamaica and Hollis (CD12),31.4
Queens Village (CD13),31.3
Rockaway and Broad Channel (CD14),34.9
St. George and Stapleton (CD1),28.6
South Beach and Willowbrook (CD2),29.4
Tottenville and Great Kills (CD3),30.2
Kingsbridge - Riverdale,29
Northeast Bronx,30.4
Fordham - Bronx Pk,30
Pelham - Throgs Neck,30.3
Crotona -Tremont,29
High Bridge - Morrisania,29.2
Hunts Point - Mott Haven,29.5
Greenpoint,27.8
Downtown - Heights - Slope,28.7
Bedford Stuyvesant - Crown Heights,30.3
East New York,31.1
Sunset Park,29
Borough Park,30.5
East Flatbush - Flatbush,30.9
Canarsie - Flatlands,32.3
Bensonhurst - Bay Ridge,30.4
Coney Island - Sheepshead Bay,32
Williamsburg - Bushwick,29.3
Washington Heights,27.9
Central Harlem - Morningside Heights,28.5
East Harlem,28.4
Upper West Side,27.8
Upper East Side,27.8
Chelsea - Clinton,27.1
Gramercy Park - Murray Hill,26.9
Greenwich Village - SoHo,28
Union Square - Lower East Side,28.3
Lower Manhattan,28
Long Island City - Astoria,29.2
West Queens,29.2
Flushing - Clearview,30.8
Bayside - Little Neck,30.1
Ridgewood - Forest Hills,30.5
Fresh Meadows,30.5
Southwest Queens,31.9
Jamaica,31
Southeast Queens,31.5
Rockaways,34.8
Port Richmond,28.6
Stapleton - St. George,29.1
Willowbrook,29.1
South Beach - Tottenville,30.2
Kingsbridge - Riverdale,29
Northeast Bronx,30.4
Fordham - Bronx Pk,30
Pelham - Throgs Neck,30.3
Greenpoint,27.8
Downtown - Heights - Slope,28.7
Bedford Stuyvesant - Crown Heights,30.3
East New York,31.1
Sunset Park,29
Borough Park,30.5
East Flatbush - Flatbush,30.9
Canarsie - Flatlands,32.3
Bensonhurst - Bay Ridge,30.4
Coney Island - Sheepshead Bay,32
Williamsburg - Bushwick,29.3
Washington Heights,27.9
Central Harlem - Morningside Heights,28.5
East Harlem,28.4
Upper West Side,27.8
Long Island City - Astoria,29.2
West Queens,29.2
Flushing - Clearview,30.8
Ridgewood - Forest Hills,30.5
Southwest Queens,31.9
Jamaica,31
Southeast Queens,31.5
Rockaways,34.8
Upper East Side-Gramercy,27.4
Chelsea-Village  ,27.4
Union Square-Lower Manhattan,28.2
Bayside Little Neck-Fresh Meadows,30.3
Northern SI,28.9
Southern SI,29.8
South Bronx,29.2
Bronx,29.8
Brooklyn,30.5
Manhattan,27.9
Queens,30.9
Staten Island,29.5
New York City,30.2
Financial District (CD1),27.9
Greenwich Village and Soho (CD2),28.5
Lower East Side and Chinatown (CD3),29
Clinton and Chelsea (CD4),28.4
Midtown (CD5),26.9
Stuyvesant Town and Turtle Bay (CD6),28.1
Upper West Side (CD7),29
Upper East Side (CD8),29.3
Morningside Heights and Hamilton Heights (CD9),29.4
Central Harlem (CD10),29.6
East Harlem (CD11),30.1
Washington Heights and Inwood (CD12),28.7
Mott Haven and Melrose (CD1),30.6
Hunts Point and Longwood (CD2),31.5
Morrisania and Crotona (CD3),30.6
Highbridge and Concourse (CD4),29.9
Fordham and University Heights (CD5),29.7
Belmont and East Tremont (CD6),30.4
Kingsbridge Heights and Bedford (CD7),29.8
Riverdale and Fieldston (CD8),28.7
Parkchester and Soundview (CD9),31.7
Throgs Neck and Co-op City (CD10),32.4
Morris Park and Bronxdale (CD11),31.3
Williamsbridge and Baychester (CD12),30.5
Greenpoint and Williamsburg (CD1),29.6
Fort Greene and Brooklyn Heights (CD2),28.9
Bedford Stuyvesant (CD3),29.3
Bushwick (CD4),29.6
East New York and Starrett City (CD5),29.6
Park Slope and Carroll Gardens (CD6),28.7
Sunset Park (CD7),28.9
Crown Heights and Prospect Heights (CD8),29.1
South Crown Heights and Lefferts Gardens (CD9),29.3
Bay Ridge and Dyker Heights (CD10),29.2
Bensonhurst (CD11),30.2
Borough Park (CD12),29.3
Coney Island (CD13),31.6
Flatbush and Midwood (CD14),29.2
Sheepshead Bay (CD15),30.6
Brownsville (CD16),29.2
East Flatbush (CD17),29.5
Flatlands and Canarsie (CD18),30.4
Long Island City and Astoria (CD1),31.8
Woodside and Sunnyside (CD2),30.6
Jackson Heights (CD3),31.6
Elmhurst and Corona (CD4),31
Ridgewood and Maspeth (CD5),30.2
Rego Park and Forest Hills (CD6),30
Flushing and Whitestone (CD7),31.6
Hillcrest and Fresh Meadows (CD8),29.9
Kew Gardens and Woodhaven (CD9),29.6
South Ozone Park and Howard Beach (CD10),29.8
Bayside and Little Neck (CD11),30.7
Jamaica and Hollis (CD12),29.4
Queens Village (CD13),30
Rockaway and Broad Channel (CD14),31.6
St. George and Stapleton (CD1),27.4
South Beach and Willowbrook (CD2),28.3
Tottenville and Great Kills (CD3),29.7
Kingsbridge - Riverdale,28.5
Northeast Bronx,30.8
Fordham - Bronx Pk,30.2
Pelham - Throgs Neck,32
Crotona -Tremont,30.1
High Bridge - Morrisania,30.1
Hunts Point - Mott Haven,31.5
Greenpoint,29.7
Downtown - Heights - Slope,28.8
Bedford Stuyvesant - Crown Heights,29.2
East New York,29.5
Sunset Park,28.9
Borough Park,29.4
East Flatbush - Flatbush,29.5
Canarsie - Flatlands,30.4
Bensonhurst - Bay Ridge,29.8
Coney Island - Sheepshead Bay,30.9
Williamsburg - Bushwick,29.4
Washington Heights,28.8
Central Harlem - Morningside Heights,29.5
East Harlem,30.2
Upper West Side,29
Upper East Side,29.3
Chelsea - Clinton,27.8
Gramercy Park - Murray Hill,27.6
Greenwich Village - SoHo,28.5
Union Square - Lower East Side,28.9
Lower Manhattan,27.7
Long Island City - Astoria,31
West Queens,30.9
Flushing - Clearview,31.6
Bayside - Little Neck,30.4
Ridgewood - Forest Hills,30.2
Fresh Meadows,30.5
Southwest Queens,29.7
Jamaica,29.5
Southeast Queens,30
Rockaways,31.5
Port Richmond,27
Stapleton - St. George,28.3
Willowbrook,27.7
South Beach - Tottenville,29.6
Kingsbridge - Riverdale,28.5
Northeast Bronx,30.8
Fordham - Bronx Pk,30.2
Pelham - Throgs Neck,32
Greenpoint,29.7
Downtown - Heights - Slope,28.8
Bedford Stuyvesant - Crown Heights,29.2
East New York,29.5
Sunset Park,28.9
Borough Park,29.4
East Flatbush - Flatbush,29.5
Canarsie - Flatlands,30.4
Bensonhurst - Bay Ridge,29.8
Coney Island - Sheepshead Bay,30.9
Williamsburg - Bushwick,29.4
Washington Heights,28.8
Central Harlem - Morningside Heights,29.5
East Harlem,30.2
Upper West Side,29
Long Island City - Astoria,31
West Queens,30.9
Flushing - Clearview,31.6
Ridgewood - Forest Hills,30.2
Southwest Queens,29.7
Jamaica,29.5
Southeast Queens,30
Rockaways,31.5
Upper East Side-Gramercy,28.5
Chelsea-Village  ,28.1
Union Square-Lower Manhattan,28.5
Bayside Little Neck-Fresh Meadows,30.5
Northern SI,27.8
Southern SI,28.9
South Bronx,30.7
Bronx,30.8
Brooklyn,29.7
Manhattan,28.8
Queens,30.5
Staten Island,28.6
New York City,29.8
Financial District (CD1),24.8
Greenwich Village and Soho (CD2),24.9
Lower East Side and Chinatown (CD3),25.9
Clinton and Chelsea (CD4),24.4
Midtown (CD5),23
Stuyvesant Town and Turtle Bay (CD6),24.6
Upper West Side (CD7),25.6
Upper East Side (CD8),25.8
Morningside Heights and Hamilton Heights (CD9),27
Central Harlem (CD10),27.3
East Harlem (CD11),27.5
Washington Heights and Inwood (CD12),27.8
Mott Haven and Melrose (CD1),28.5
Hunts Point and Longwood (CD2),29.7
Morrisania and Crotona (CD3),29.2
Highbridge and Concourse (CD4),28.5
Fordham and University Heights (CD5),28.7
Belmont and East Tremont (CD6),29.5
Kingsbridge Heights and Bedford (CD7),29.2
Riverdale and Fieldston (CD8),28.6
Parkchester and Soundview (CD9),30.3
Throgs Neck and Co-op City (CD10),31.4
Morris Park and Bronxdale (CD11),30.3
Williamsbridge and Baychester (CD12),30.2
Greenpoint and Williamsburg (CD1),27.9
Fort Greene and Brooklyn Heights (CD2),27.5
Bedford Stuyvesant (CD3),29.6
Bushwick (CD4),30.5
East New York and Starrett City (CD5),33
Park Slope and Carroll Gardens (CD6),27.6
Sunset Park (CD7),28.8
Crown Heights and Prospect Heights (CD8),29.7
South Crown Heights and Lefferts Gardens (CD9),30.6
Bay Ridge and Dyker Heights (CD10),29.7
Bensonhurst (CD11),31.6
Borough Park (CD12),30.4
Coney Island (CD13),33.6
Flatbush and Midwood (CD14),31.1
Sheepshead Bay (CD15),33.3
Brownsville (CD16),31.6
East Flatbush (CD17),31.8
Flatlands and Canarsie (CD18),34
Long Island City and Astoria (CD1),29.4
Woodside and Sunnyside (CD2),28.6
Jackson Heights (CD3),30.3
Elmhurst and Corona (CD4),30.6
Ridgewood and Maspeth (CD5),30.9
Rego Park and Forest Hills (CD6),31
Flushing and Whitestone (CD7),31.3
Hillcrest and Fresh Meadows (CD8),31.6
Kew Gardens and Woodhaven (CD9),32.4
South Ozone Park and Howard Beach (CD10),33.9
Bayside and Little Neck (CD11),31.8
Jamaica and Hollis (CD12),33.1
Queens Village (CD13),33.6
Rockaway and Broad Channel (CD14),37.5
St. George and Stapleton (CD1),27.8
South Beach and Willowbrook (CD2),29.5
Tottenville and Great Kills (CD3),30
Kingsbridge - Riverdale,28.4
Northeast Bronx,30.3
Fordham - Bronx Pk,29.6
Pelham - Throgs Neck,30.9
Crotona -Tremont,29.1
High Bridge - Morrisania,28.6
Hunts Point - Mott Haven,29.6
Greenpoint,27.8
Downtown - Heights - Slope,27.6
Bedford Stuyvesant - Crown Heights,30.5
East New York,32.6
Sunset Park,28.8
Borough Park,30.6
East Flatbush - Flatbush,31.4
Canarsie - Flatlands,34
Bensonhurst - Bay Ridge,30.8
Coney Island - Sheepshead Bay,33.3
Williamsburg - Bushwick,29.3
Washington Heights,27.7
Central Harlem - Morningside Heights,27.1
East Harlem,27.5
Upper West Side,25.6
Upper East Side,25.9
Chelsea - Clinton,23.8
Gramercy Park - Murray Hill,24
Greenwich Village - SoHo,25
Union Square - Lower East Side,25.7
Lower Manhattan,24.7
Long Island City - Astoria,28.4
West Queens,30
Flushing - Clearview,31.3
Bayside - Little Neck,31.7
Ridgewood - Forest Hills,31.3
Fresh Meadows,31.8
Southwest Queens,33.3
Jamaica,32.8
Southeast Queens,33.4
Rockaways,37.4
Port Richmond,27.3
Stapleton - St. George,29.1
Willowbrook,28.8
South Beach - Tottenville,30.1
Kingsbridge - Riverdale,28.4
Northeast Bronx,30.3
Fordham - Bronx Pk,29.6
Pelham - Throgs Neck,30.9
Greenpoint,27.8
Downtown - Heights - Slope,27.6
Bedford Stuyvesant - Crown Heights,30.5
East New York,32.6
Sunset Park,28.8
Borough Park,30.6
East Flatbush - Flatbush,31.4
Canarsie - Flatlands,34
Bensonhurst - Bay Ridge,30.8
Coney Island - Sheepshead Bay,33.3
Williamsburg - Bushwick,29.3
Washington Heights,27.7
Central Harlem - Morningside Heights,27.1
East Harlem,27.5
Upper West Side,25.6
Long Island City - Astoria,28.4
West Queens,30
Flushing - Clearview,31.3
Ridgewood - Forest Hills,31.3
Southwest Queens,33.3
Jamaica,32.8
Southeast Queens,33.4
Rockaways,37.4
Upper East Side-Gramercy,25
Chelsea-Village  ,24.2
Union Square-Lower Manhattan,25.4
Bayside Little Neck-Fresh Meadows,31.7
Northern SI,28.5
Southern SI,29.6
South Bronx,29.2
Bronx,29.9
Brooklyn,31.1
Manhattan,25.8
Queens,32.2
Staten Island,29.3
New York City,30.6
Financial District (CD1),26
Greenwich Village and Soho (CD2),26.2
Lower East Side and Chinatown (CD3),27.1
Clinton and Chelsea (CD4),25.9
Midtown (CD5),22.9
Stuyvesant Town and Turtle Bay (CD6),24.9
Upper West Side (CD7),27.2
Upper East Side (CD8),26.9
Morningside Heights and Hamilton Heights (CD9),28.3
Central Harlem (CD10),28.6
East Harlem (CD11),28.8
Washington Heights and Inwood (CD12),29
Mott Haven and Melrose (CD1),29.7
Hunts Point and Longwood (CD2),30.7
Morrisania and Crotona (CD3),30.1
Highbridge and Concourse (CD4),29.5
Fordham and University Heights (CD5),29.7
Belmont and East Tremont (CD6),30.3
Kingsbridge Heights and Bedford (CD7),30.2
Riverdale and Fieldston (CD8),30
Parkchester and Soundview (CD9),31.1
Throgs Neck and Co-op City (CD10),32
Morris Park and Bronxdale (CD11),31.1
Williamsbridge and Baychester (CD12),31.1
Greenpoint and Williamsburg (CD1),28.9
Fort Greene and Brooklyn Heights (CD2),28.5
Bedford Stuyvesant (CD3),29.7
Bushwick (CD4),30.6
East New York and Starrett City (CD5),32
Park Slope and Carroll Gardens (CD6),28.6
Sunset Park (CD7),29.4
Crown Heights and Prospect Heights (CD8),29.7
South Crown Heights and Lefferts Gardens (CD9),30.3
Bay Ridge and Dyker Heights (CD10),30.1
Bensonhurst (CD11),31.3
Borough Park (CD12),30.3
Coney Island (CD13),33
Flatbush and Midwood (CD14),30.7
Sheepshead Bay (CD15),32.4
Brownsville (CD16),31
East Flatbush (CD17),31.2
Flatlands and Canarsie (CD18),32.9
Long Island City and Astoria (CD1),30.5
Woodside and Sunnyside (CD2),29.7
Jackson Heights (CD3),30.6
Elmhurst and Corona (CD4),30.5
Ridgewood and Maspeth (CD5),30.9
Rego Park and Forest Hills (CD6),30.4
Flushing and Whitestone (CD7),31.3
Hillcrest and Fresh Meadows (CD8),30.7
Kew Gardens and Woodhaven (CD9),31.2
South Ozone Park and Howard Beach (CD10),32.4
Bayside and Little Neck (CD11),31.1
Jamaica and Hollis (CD12),31.5
Queens Village (CD13),31.9
Rockaway and Broad Channel (CD14),35.3
St. George and Stapleton (CD1),28.8
South Beach and Willowbrook (CD2),30
Tottenville and Great Kills (CD3),30.2
Kingsbridge - Riverdale,29.8
Northeast Bronx,31.2
Fordham - Bronx Pk,30.6
Pelham - Throgs Neck,31.5
Crotona -Tremont,30
High Bridge - Morrisania,29.7
Hunts Point - Mott Haven,30.6
Greenpoint,29
Downtown - Heights - Slope,28.5
Bedford Stuyvesant - Crown Heights,30.2
East New York,31.7
Sunset Park,29.5
Borough Park,30.4
East Flatbush - Flatbush,31
Canarsie - Flatlands,33
Bensonhurst - Bay Ridge,30.9
Coney Island - Sheepshead Bay,32.5
Williamsburg - Bushwick,29.6
Washington Heights,29
Central Harlem - Morningside Heights,28.4
East Harlem,28.8
Upper West Side,27.2
Upper East Side,27
Chelsea - Clinton,24.8
Gramercy Park - Murray Hill,24
Greenwich Village - SoHo,26.4
Union Square - Lower East Side,26.8
Lower Manhattan,25.9
Long Island City - Astoria,29.7
West Queens,30.3
Flushing - Clearview,31.3
Bayside - Little Neck,31
Ridgewood - Forest Hills,31
Fresh Meadows,31
Southwest Queens,31.9
Jamaica,31.3
Southeast Queens,31.8
Rockaways,35.2
Port Richmond,28.5
Stapleton - St. George,29.9
Willowbrook,29.4
South Beach - Tottenville,30.3
Kingsbridge - Riverdale,29.8
Northeast Bronx,31.2
Fordham - Bronx Pk,30.6
Pelham - Throgs Neck,31.5
Greenpoint,29
Downtown - Heights - Slope,28.5
Bedford Stuyvesant - Crown Heights,30.2
East New York,31.7
Sunset Park,29.5
Borough Park,30.4
East Flatbush - Flatbush,31
Canarsie - Flatlands,33
Bensonhurst - Bay Ridge,30.9
Coney Island - Sheepshead Bay,32.5
Williamsburg - Bushwick,29.6
Washington Heights,29
Central Harlem - Morningside Heights,28.4
East Harlem,28.8
Upper West Side,27.2
Long Island City - Astoria,29.7
West Queens,30.3
Flushing - Clearview,31.3
Ridgewood - Forest Hills,31
Southwest Queens,31.9
Jamaica,31.3
Southeast Queens,31.8
Rockaways,35.2
Upper East Side-Gramercy,25.6
Chelsea-Village  ,25.3
Union Square-Lower Manhattan,26.5
Bayside Little Neck-Fresh Meadows,31
Northern SI,29.4
Southern SI,30
South Bronx,30.2
Bronx,30.8
Brooklyn,30.9
Manhattan,27
Queens,31.5
Staten Island,29.8
New York City,30.6
Financial District (CD1),24.8
Greenwich Village and Soho (CD2),25.1
Lower East Side and Chinatown (CD3),25.9
Clinton and Chelsea (CD4),24.6
Midtown (CD5),21.3
Stuyvesant Town and Turtle Bay (CD6),23.1
Upper West Side (CD7),25.6
Upper East Side (CD8),25.2
Morningside Heights and Hamilton Heights (CD9),26.4
Central Harlem (CD10),26.6
East Harlem (CD11),26.9
Washington Heights and Inwood (CD12),27
Mott Haven and Melrose (CD1),28.4
Hunts Point and Longwood (CD2),29.7
Morrisania and Crotona (CD3),28.3
Highbridge and Concourse (CD4),27.5
Fordham and University Heights (CD5),27.2
Belmont and East Tremont (CD6),28.1
Kingsbridge Heights and Bedford (CD7),27.7
Riverdale and Fieldston (CD8),27.7
Parkchester and Soundview (CD9),29.3
Throgs Neck and Co-op City (CD10),30.2
Morris Park and Bronxdale (CD11),29.2
Williamsbridge and Baychester (CD12),28.9
Greenpoint and Williamsburg (CD1),29.1
Fort Greene and Brooklyn Heights (CD2),27.6
Bedford Stuyvesant (CD3),28.9
Bushwick (CD4),29.9
East New York and Starrett City (CD5),31.2
Park Slope and Carroll Gardens (CD6),28.3
Sunset Park (CD7),29.2
Crown Heights and Prospect Heights (CD8),28.9
South Crown Heights and Lefferts Gardens (CD9),29.4
Bay Ridge and Dyker Heights (CD10),29.2
Bensonhurst (CD11),30.5
Borough Park (CD12),29.6
Coney Island (CD13),32.4
Flatbush and Midwood (CD14),29.9
