Time,GeoTypeDesc,GeoID,GeoRank,Geography,10th percentile ppb,90th percentile ppb,Mean_ppb
Summer 2021,Community District,101,6,Financial District (CD1),26.8,29.3,28
Summer 2021,Community District,102,6,Greenwich Village and Soho (CD2),26.7,28.9,27.9
Summer 2021,Community District,103,6,Lower East Side and Chinatown (CD3),27.1,29.7,28.4
Summer 2021,Community District,104,6,Clinton and Chelsea (CD4),25.9,28.6,27.3
Summer 2021,Community District,105,6,Midtown (CD5),25.8,27.9,26.9
Summer 2021,Community District,106,6,Stuyvesant Town and Turtle Bay (CD6),25.8,29.3,27.2
Summer 2021,Community District,107,6,Upper West Side (CD7),26.5,28.9,27.8
Summer 2021,Community District,108,6,Upper East Side (CD8),26.6,29.6,27.8
Summer 2021,Community District,109,6,Morningside Heights and Hamilton Heights (CD9),27,29.9,28.6
Summer 2021,Community District,110,6,Central Harlem (CD10),27.6,29.4,28.6
Summer 2021,Community District,111,6,East Harlem (CD11),27.2,29.4,28.3
Summer 2021,Community District,112,6,Washington Heights and Inwood (CD12),24.8,30.3,27.6
Summer 2021,Community District,201,6,Mott Haven and Melrose (CD1),27.4,30.1,28.8
Summer 2021,Community District,202,6,Hunts Point and Longwood (CD2),27.2,30.9,29.1
Summer 2021,Community District,203,6,Morrisania and Crotona (CD3),28.2,30.5,29.4
Summer 2021,Community District,204,6,Highbridge and Concourse (CD4),27.2,30.2,28.9
Summer 2021,Community District,205,6,Fordham and University Heights (CD5),27.3,30.2,28.9
Summer 2021,Community District,206,6,Belmont and East Tremont (CD6),28.5,30.4,29.5
Summer 2021,Community District,207,6,Kingsbridge Heights and Bedford (CD7),28.6,30.9,29.8
Summer 2021,Community District,208,6,Riverdale and Fieldston (CD8),27.6,30.7,29.1
Summer 2021,Community District,209,6,Parkchester and Soundview (CD9),28.3,31.2,29.7
Summer 2021,Community District,210,6,Throgs Neck and Co-op City (CD10),29.2,32.7,30.7
Summer 2021,Community District,211,6,Morris Park and Bronxdale (CD11),29.2,31.4,30.3
Summer 2021,Community District,212,6,Williamsbridge and Baychester (CD12),29.1,31.3,30.3
Summer 2021,Community District,301,6,Greenpoint and Williamsburg (CD1),25.8,29.6,27.8
Summer 2021,Community District,302,6,Fort Greene and Brooklyn Heights (CD2),27,30.2,28.6
Summer 2021,Community District,303,6,Bedford Stuyvesant (CD3),27.8,31,29.6
Summer 2021,Community District,304,6,Bushwick (CD4),28.7,31.5,30.4
Summer 2021,Community District,305,6,East New York and Starrett City (CD5),29.9,32.9,31.3
Summer 2021,Community District,306,6,Park Slope and Carroll Gardens (CD6),27.6,30.4,28.9
Summer 2021,Community District,307,6,Sunset Park (CD7),27.1,30.4,28.9
Summer 2021,Community District,308,6,Crown Heights and Prospect Heights (CD8),28.7,31,29.9
Summer 2021,Community District,309,6,South Crown Heights and Lefferts Gardens (CD9),29.7,31.5,30.6
Summer 2021,Community District,310,6,Bay Ridge and Dyker Heights (CD10),28.3,31.1,29.7
Summer 2021,Community District,311,6,Bensonhurst (CD11),30.5,31.8,31.2
Summer 2021,Community District,312,6,Borough Park (CD12),29.5,31.3,30.4
Summer 2021,Community District,313,6,Coney Island (CD13),31,34,32.4
Summer 2021,Community District,314,6,Flatbush and Midwood (CD14),29.3,31.3,30.4
Summer 2021,Community District,315,6,Sheepshead Bay (CD15),30.7,33.3,31.8
Summer 2021,Community District,316,6,Brownsville (CD16),29.7,31.7,30.8
Summer 2021,Community District,317,6,East Flatbush (CD17),30.1,31.9,31
Summer 2021,Community District,318,6,Flatlands and Canarsie (CD18),30.4,34.8,32.2
Summer 2021,Community District,401,6,Long Island City and Astoria (CD1),29,32.6,30.4
Summer 2021,Community District,402,6,Woodside and Sunnyside (CD2),25.3,30.5,28
Summer 2021,Community District,403,6,Jackson Heights (CD3),29.5,31.3,30.4
Summer 2021,Community District,404,6,Elmhurst and Corona (CD4),29.4,31.2,30.3
Summer 2021,Community District,405,6,Ridgewood and Maspeth (CD5),26.5,32.1,29.7
Summer 2021,Community District,406,6,Rego Park and Forest Hills (CD6),29,31.3,30.2
Summer 2021,Community District,407,6,Flushing and Whitestone (CD7),29.5,31.8,30.8
Summer 2021,Community District,408,6,Hillcrest and Fresh Meadows (CD8),28.7,31.6,30.3
Summer 2021,Community District,409,6,Kew Gardens and Woodhaven (CD9),29.9,32.1,31.1
Summer 2021,Community District,410,6,South Ozone Park and Howard Beach (CD10),31.1,33.7,32.4
Summer 2021,Community District,411,6,Bayside and Little Neck (CD11),29,31.6,30.3
Summer 2021,Community District,412,6,Jamaica and Hollis (CD12),30.3,32.4,31.4
Summer 2021,Community District,413,6,Queens Village (CD13),29.6,32.8,31.3
Summer 2021,Community District,414,6,Rockaway and Broad Channel (CD14),33.4,36.7,34.9
Summer 2021,Community District,501,6,St. George and Stapleton (CD1),27.2,29.9,28.6
Summer 2021,Community District,502,6,South Beach and Willowbrook (CD2),26,32.1,29.4
Summer 2021,Community District,503,6,Tottenville and Great Kills (CD3),27.5,32.5,30.2