Geography,Degrees
Financial District (CD1),94
Greenwich Village and Soho (CD2),98
Lower East Side and Chinatown (CD3),98
Clinton and Chelsea (CD4),98
Midtown (CD5),98
Stuyvesant Town and Turtle Bay (CD6),97
Upper West Side (CD7),96
Upper East Side (CD8),97
Morningside Heights and Hamilton Heights (CD9),95
Central Harlem (CD10),98
East Harlem (CD11),97
Washington Heights and Inwood (CD12),94
Mott Haven and Melrose (CD1),101
Hunts Point and Longwood (CD2),101
Morrisania and Crotona (CD3),99
Highbridge and Concourse (CD4),98
Fordham and University Heights (CD5),98
Belmont and East Tremont (CD6),99
Kingsbridge Heights and Bedford (CD7),97
Riverdale and Fieldston (CD8),93
Parkchester and Soundview (CD9),98
Throgs Neck and Co-op City (CD10),97
Morris Park and Bronxdale (CD11),100
Williamsbridge and Baychester (CD12),98
Greenpoint and Williamsburg (CD1),100
Fort Greene and Brooklyn Heights (CD2),98
Bedford Stuyvesant (CD3),99
Bushwick (CD4),100
East New York and Starrett City (CD5),100
Park Slope and Carroll Gardens (CD6),97
Sunset Park (CD7),96
Crown Heights and Prospect Heights (CD8),98
South Crown Heights and Lefferts Gardens (CD9),98
Bay Ridge and Dyker Heights (CD10),94
Bensonhurst (CD11),96
Borough Park (CD12),99
Coney Island (CD13),96
Flatbush and Midwood (CD14),99
Sheepshead Bay (CD15),98
Brownsville (CD16),101
East Flatbush (CD17),99
Flatlands and Canarsie (CD18),98
Long Island City and Astoria (CD1),99
Woodside and Sunnyside (CD2),100
Jackson Heights (CD3),100
Elmhurst and Corona (CD4),101
Ridgewood and Maspeth (CD5),98
Rego Park and Forest Hills (CD6),99
Flushing and Whitestone (CD7),99
Hillcrest and Fresh Meadows (CD8),99
Kew Gardens and Woodhaven (CD9),101
South Ozone Park and Howard Beach (CD10),100
Bayside and Little Neck (CD11),98
Jamaica and Hollis (CD12),102
Queens Village (CD13),101
Rockaway and Broad Channel (CD14),95
St. George and Stapleton (CD1),98
South Beach and Willowbrook (CD2),95
Tottenville and Great Kills (CD3),95