Geography,Percent
Allerton-Pelham Gardens,31.6
Annadale-Huguenot-Prince's Bay-Eltingville,64.1
Arden Heights,54
Astoria,18
Auburndale,38.3
Baisley Park,35.5
Bath Beach,22.1
Battery Park City-Lower Manhattan,14.4
Bay Ridge,31.2
Bayside-Bayside Hills,42.7
Bedford,23
Bedford Park-Fordham North,17.3
Bellerose,47.3
Belmont,24.4
Bensonhurst East,14.6
Bensonhurst West,14.3
Borough Park,22.6
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,30.8
Briarwood-Jamaica Hills,31
Brighton Beach,16.8
Bronxdale,26.9
Brooklyn Heights-Cobble Hill,27
Brownsville,24.8
Bushwick North,14.7
Bushwick South,18.6
Cambria Heights,39.2
Canarsie,34.7
Carroll Gardens-Columbia Street-Red Hook,19.7
Central Harlem North-Polo Grounds,25
Central Harlem South,19.7
Charleston-Richmond Valley-Tottenville,60.1
Chinatown,17.9
Claremont-Bathgate,21.7
Clinton,11.9
Clinton Hill,27.5
Co-op City,33.9
College Point,28.4
Corona,16.4
Crotona Park East,23
Crown Heights North,25.2
Crown Heights South,19.4
Cypress Hills-City Line,22.5
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,22.8
Douglas Manor-Douglaston-Little Neck,55.6
Dyker Heights,20.2
East Concourse-Concourse Village,15
East Elmhurst,27
East Flatbush-Farragut,21.1
East Flushing,38.6
East Harlem North,27.8
East Harlem South,26.6
East New York,33.8
East New York (Pennsylvania Ave),18.6
East Tremont,20.2
East Village,23.1
East Williamsburg,11.2
Eastchester-Edenwald-Baychester,38.1
Elmhurst,19.8
Elmhurst-Maspeth,21.2
Erasmus,15.6
Far Rockaway-Bayswater,36.8
Flatbush,30.3
Flatlands,24.3
Flushing,22.2
Fordham South,11.4
Forest Hills,35.2
Fort Greene,33.4
Fresh Meadows-Utopia,47.6
Ft. Totten-Bay Terrace-Clearview,50.1
Georgetown-Marine Park-Bergen Beach-Mill Basin,34.4
Glen Oaks-Floral Park-New Hyde Park,48.2
Glendale,23.4
Gramercy,16.2
Grasmere-Arrochar-Ft. Wadsworth,51.8
Gravesend,29.6
Great Kills,48.6
Greenpoint,12.4
Grymes Hill-Clifton-Fox Hills,45.7
Hamilton Heights,30.6
Hammels-Arverne-Edgemere,35.8
Highbridge,24
Hollis,34.1
Homecrest,20.6
Hudson Yards-Chelsea-Flatiron-Union Square,12.8
Hunters Point-Sunnyside-West Maspeth,14.5
Hunts Point,11.2
Jackson Heights,24.8
Jamaica,15
Jamaica Estates-Holliswood,51.9
Kensington-Ocean Parkway,23.1
Kew Gardens,45.8
Kew Gardens Hills,39.7
Kingsbridge Heights,25.7
Laurelton,36
Lenox Hill-Roosevelt Island,24.2
Lincoln Square,20.1
Lindenwood-Howard Beach,43.2
Longwood,18.4
Lower East Side,31.8
Madison,24.1
Manhattanville,26.5
Marble Hill-Inwood,20.1
Mariner's Harbor-Arlington-Port Ivory-Graniteville,44.1
Maspeth,18.6
Melrose South-Mott Haven North,23.2
Middle Village,44.4
Midtown-Midtown South,3.4
Midwood,28.8
Morningside Heights,38.3
Morrisania-Melrose,24.3
Mott Haven-Port Morris,20.2
Mount Hope,14.1
Murray Hill,38.5
Murray Hill-Kips Bay,15.6
New Brighton-Silver Lake,47
New Dorp-Midland Beach,43.1
New Springville-Bloomfield-Travis,62.4
North Corona,16.6
North Riverdale-Fieldston-Riverdale,63.4
North Side-South Side,16.2
Norwood,29.5
Oakland Gardens,50.9
Oakwood-Oakwood Beach,51.9
Ocean Hill,21.1
Ocean Parkway South,32.9
Old Astoria,20.7
Old Town-Dongan Hills-South Beach,44.3
Ozone Park,27.8
Park Slope-Gowanus,22.5
Parkchester,34.5
Pelham Bay-Country Club-City Island,36.9
Pelham Parkway,35.2
Pomonok-Flushing Heights-Hillcrest,37.3
Port Richmond,36.4
Prospect Heights,24.2
Prospect Lefferts Gardens-Wingate,21
Queens Village,32.3
Queensboro Hill,40.2
Queensbridge-Ravenswood-Long Island City,18.9
Rego Park,28.3
Richmond Hill,19.4
Ridgewood,27.8
Rosedale,50.9
Rossville-Woodrow,56.6
Rugby-Remsen Village,17.5
Schuylerville-Throgs Neck-Edgewater Park,45
Seagate-Coney Island,18.3
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,25.2
SoHo-TriBeCa-Civic Center-Little Italy,9.5
Soundview-Bruckner,24.5
Soundview-Castle Hill-Clason Point-Harding Park,33.7
South Jamaica,31.2
South Ozone Park,24.5
Springfield Gardens North,41
Springfield Gardens South-Brookville,34.7
Spuyten Duyvil-Kingsbridge,39.2
St. Albans,38.3
Stapleton-Rosebank,53.6
Starrett City,53.4
Steinway,22.4
Stuyvesant Heights,26.6
Stuyvesant Town-Cooper Village,42
Sunset Park East,17.9
Sunset Park West,10.7
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,70.2
Turtle Bay-East Midtown,14.2
University Heights-Morris Heights,26.4
Upper East Side-Carnegie Hill,17.5
Upper West Side,32.1
Van Cortlandt Village,26.8
Van Nest-Morris Park-Westchester Square,23.9
Washington Heights North,35.8
Washington Heights South,22.5
West Brighton,24.9
West Concourse,19.2
West Farms-Bronx River,21.8
West New Brighton-New Brighton-St. George,44.2
West Village,19.3
Westchester-Unionport,18.3
Westerleigh,50.7
Whitestone,38
Williamsbridge-Olinville,24
Williamsburg,23.4
Windsor Terrace,28
Woodhaven,22.5
Woodlawn-Wakefield,29.5
Woodside,20.3
Yorkville,21.8