"Time","GeoTypeDesc","GeoID","GeoRank","Geography","Average annual age-adjusted rate per 100,000","Average annual rate per 100,000","Total"
"2012-2016","Community District","101","6","Financial District (CD1)","0.6*","0.6*","***"
"2012-2016","Community District","102","6","Greenwich Village and Soho (CD2)","0.3*","0.4*","***"
"2012-2016","Community District","103","6","Lower East Side and Chinatown (CD3)","0.8*","1.0*","***"
"2012-2016","Community District","104","6","Clinton and Chelsea (CD4)","0.7*","0.8*","***"
"2012-2016","Community District","105","6","Midtown (CD5)","1.2*","1.5*","***"
"2012-2016","Community District","106","6","Stuyvesant Town and Turtle Bay (CD6)","0.7*","1.0*","***"
"2012-2016","Community District","107","6","Upper West Side (CD7)","0.9","1.0","11"
"2012-2016","Community District","108","6","Upper East Side (CD8)","0.6*","0.9*","***"
"2012-2016","Community District","109","6","Morningside Heights and Hamilton Heights (CD9)","1.7*","1.6*","***"
"2012-2016","Community District","110","6","Central Harlem (CD10)","1.5*","1.6*","***"
"2012-2016","Community District","111","6","East Harlem (CD11)","2.3","2.3","14"
"2012-2016","Community District","112","6","Washington Heights and Inwood (CD12)","0.9*","1.0*","***"
"2012-2016","Community District","201","6","Mott Haven and Melrose (CD1)","2.3*","1.9*","***"
"2012-2016","Community District","202","6","Hunts Point and Longwood (CD2)","2.2*","1.8*","***"
"2012-2016","Community District","203","6","Morrisania and Crotona (CD3)","1.9*","1.3*","***"
"2012-2016","Community District","204","6","Highbridge and Concourse (CD4)","2.9","2.5","19"
"2012-2016","Community District","205","6","Fordham and University Heights (CD5)","1.8*","1.2*","***"
"2012-2016","Community District","206","6","Belmont and East Tremont (CD6)","2.5*","1.9*","***"
"2012-2016","Community District","207","6","Kingsbridge Heights and Bedford (CD7)","1.9","1.7","12"
"2012-2016","Community District","208","6","Riverdale and Fieldston (CD8)","1.1*","1.4*","***"
"2012-2016","Community District","209","6","Parkchester and Soundview (CD9)","2.3","2.2","20"
"2012-2016","Community District","210","6","Throgs Neck and Co-op City (CD10)","1.2*","1.7*","***"
"2012-2016","Community District","211","6","Morris Park and Bronxdale (CD11)","1.9","2.3","13"
"2012-2016","Community District","212","6","Williamsbridge and Baychester (CD12)","2.4","2.5","19"
"2012-2016","Community District","301","6","Greenpoint and Williamsburg (CD1)","0.8*","0.7*","***"
"2012-2016","Community District","302","6","Fort Greene and Brooklyn Heights (CD2)","1.9","1.8","11"
"2012-2016","Community District","303","6","Bedford Stuyvesant (CD3)","2.4","2.2","17"
"2012-2016","Community District","304","6","Bushwick (CD4)","3.1","2.7","15"
"2012-2016","Community District","305","6","East New York and Starrett City (CD5)","2.1","2.1","19"
"2012-2016","Community District","306","6","Park Slope and Carroll Gardens (CD6)","1.1*","0.7*","***"
"2012-2016","Community District","307","6","Sunset Park (CD7)","2.1","2.0","13"
"2012-2016","Community District","308","6","Crown Heights and Prospect Heights (CD8)","2.3","2.3","11"
"2012-2016","Community District","309","6","South Crown Heights and Lefferts Gardens (CD9)","2.9","2.9","14"
"2012-2016","Community District","310","6","Bay Ridge and Dyker Heights (CD10)","1.5","1.6","11"
"2012-2016","Community District","311","6","Bensonhurst (CD11)","0.9","1.1","11"
"2012-2016","Community District","312","6","Borough Park (CD12)","1.1*","0.9*","***"
"2012-2016","Community District","313","6","Coney Island (CD13)","1.7","2.5","13"
"2012-2016","Community District","314","6","Flatbush and Midwood (CD14)","1.4","1.5","12"
"2012-2016","Community District","315","6","Sheepshead Bay (CD15)","1.0*","1.2*","***"
"2012-2016","Community District","316","6","Brownsville (CD16)","3.6","3.3","14"
"2012-2016","Community District","317","6","East Flatbush (CD17)","1.9","2.1","16"
"2012-2016","Community District","318","6","Flatlands and Canarsie (CD18)","1.3","1.4","14"
"2012-2016","Community District","401","6","Long Island City and Astoria (CD1)","1.1","1.2","12"
"2012-2016","Community District","402","6","Woodside and Sunnyside (CD2)","0.5*","0.6*","***"
"2012-2016","Community District","403","6","Jackson Heights (CD3)","1.0*","1.0*","***"
"2012-2016","Community District","404","6","Elmhurst and Corona (CD4)","0.9*","0.9*","***"
"2012-2016","Community District","405","6","Ridgewood and Maspeth (CD5)","1.5","1.6","13"
"2012-2016","Community District","406","6","Rego Park and Forest Hills (CD6)","0.7*","1.1*","***"
"2012-2016","Community District","407","6","Flushing and Whitestone (CD7)","0.4*","0.5*","***"
"2012-2016","Community District","408","6","Hillcrest and Fresh Meadows (CD8)","0.9*","1.0*","***"
"2012-2016","Community District","409","6","Kew Gardens and Woodhaven (CD9)","1.3*","1.1*","***"
"2012-2016","Community District","410","6","South Ozone Park and Howard Beach (CD10)","1.0*","1.1*","***"
"2012-2016","Community District","411","6","Bayside and Little Neck (CD11)","1.0*","1.2*","***"
"2012-2016","Community District","412","6","Jamaica and Hollis (CD12)","1.9","2.1","24"
"2012-2016","Community District","413","6","Queens Village (CD13)","0.7*","0.8*","***"
"2012-2016","Community District","414","6","Rockaway and Broad Channel (CD14)","0.9*","1.1*","***"
"2012-2016","Community District","501","6","St. George and Stapleton (CD1)","2.9","2.9","26"
"2012-2016","Community District","502","6","South Beach and Willowbrook (CD2)","1.6","1.9","13"
"2012-2016","Community District","503","6","Tottenville and Great Kills (CD3)","1.4","1.6","13"