"Time","GeoTypeDesc","GeoID","GeoRank","Geography","Number","Percent"
"2015-19","Community District","101","6","Financial District (CD1)","10,345","7.0"
"2015-19","Community District","102","6","Greenwich Village and Soho (CD2)","10,345","7.0"
"2015-19","Community District","103","6","Lower East Side and Chinatown (CD3)","39,011","26.4"
"2015-19","Community District","104","6","Clinton and Chelsea (CD4)","19,084","12.3"
"2015-19","Community District","105","6","Midtown (CD5)","19,084","12.3"
"2015-19","Community District","106","6","Stuyvesant Town and Turtle Bay (CD6)","11,333","7.9"
"2015-19","Community District","107","6","Upper West Side (CD7)","18,291","9.6"
"2015-19","Community District","108","6","Upper East Side (CD8)","11,630","5.5"
"2015-19","Community District","109","6","Morningside Heights and Hamilton Heights (CD9)","27,552","22.9"
"2015-19","Community District","110","6","Central Harlem (CD10)","32,523","24.1"
"2015-19","Community District","111","6","East Harlem (CD11)","39,284","33.3"
"2015-19","Community District","112","6","Washington Heights and Inwood (CD12)","41,860","19.7"
"2015-19","Community District","201","6","Mott Haven and Melrose (CD1)","59,209","40.1"
"2015-19","Community District","202","6","Hunts Point and Longwood (CD2)","59,209","40.1"
"2015-19","Community District","203","6","Morrisania and Crotona (CD3)","64,402","38.5"
"2015-19","Community District","204","6","Highbridge and Concourse (CD4)","48,163","34.5"
"2015-19","Community District","205","6","Fordham and University Heights (CD5)","50,813","36.7"
"2015-19","Community District","206","6","Belmont and East Tremont (CD6)","64,402","38.5"
"2015-19","Community District","207","6","Kingsbridge Heights and Bedford (CD7)","38,418","29.5"
"2015-19","Community District","208","6","Riverdale and Fieldston (CD8)","18,375","17.6"
"2015-19","Community District","209","6","Parkchester and Soundview (CD9)","49,251","26.8"
"2015-19","Community District","210","6","Throgs Neck and Co-op City (CD10)","13,780","11.9"
"2015-19","Community District","211","6","Morris Park and Bronxdale (CD11)","23,008","18.6"
"2015-19","Community District","212","6","Williamsbridge and Baychester (CD12)","26,753","17.9"
"2015-19","Community District","301","6","Greenpoint and Williamsburg (CD1)","36,730","22.6"
"2015-19","Community District","302","6","Fort Greene and Brooklyn Heights (CD2)","21,428","15.7"
"2015-19","Community District","303","6","Bedford Stuyvesant (CD3)","39,997","26.9"
"2015-19","Community District","304","6","Bushwick (CD4)","34,402","26.8"
"2015-19","Community District","305","6","East New York and Starrett City (CD5)","42,248","26.4"
"2015-19","Community District","306","6","Park Slope and Carroll Gardens (CD6)","11,165","9.6"
"2015-19","Community District","307","6","Sunset Park (CD7)","31,843","23.2"
"2015-19","Community District","308","6","Crown Heights and Prospect Heights (CD8)","28,090","21.2"
"2015-19","Community District","309","6","South Crown Heights and Lefferts Gardens (CD9)","19,083","18.0"
"2015-19","Community District","310","6","Bay Ridge and Dyker Heights (CD10)","17,451","14.3"
"2015-19","Community District","311","6","Bensonhurst (CD11)","31,601","16.8"
"2015-19","Community District","312","6","Borough Park (CD12)","44,698","29.1"
"2015-19","Community District","313","6","Coney Island (CD13)","26,733","23.8"
"2015-19","Community District","314","6","Flatbush and Midwood (CD14)","27,396","17.5"
"2015-19","Community District","315","6","Sheepshead Bay (CD15)","21,004","14.0"
"2015-19","Community District","316","6","Brownsville (CD16)","39,234","34.0"
"2015-19","Community District","317","6","East Flatbush (CD17)","18,150","13.6"
"2015-19","Community District","318","6","Flatlands and Canarsie (CD18)","20,378","10.0"
"2015-19","Community District","401","6","Long Island City and Astoria (CD1)","22,166","13.6"
"2015-19","Community District","402","6","Woodside and Sunnyside (CD2)","13,259","9.9"
"2015-19","Community District","403","6","Jackson Heights (CD3)","25,498","15.0"
"2015-19","Community District","404","6","Elmhurst and Corona (CD4)","22,360","16.2"
"2015-19","Community District","405","6","Ridgewood and Maspeth (CD5)","17,863","9.6"
"2015-19","Community District","406","6","Rego Park and Forest Hills (CD6)","12,039","10.4"
"2015-19","Community District","407","6","Flushing and Whitestone (CD7)","36,131","15.1"
"2015-19","Community District","408","6","Hillcrest and Fresh Meadows (CD8)","20,104","12.7"
"2015-19","Community District","409","6","Kew Gardens and Woodhaven (CD9)","18,896","12.8"
"2015-19","Community District","410","6","South Ozone Park and Howard Beach (CD10)","14,418","10.9"
"2015-19","Community District","411","6","Bayside and Little Neck (CD11)","8,981","7.6"
"2015-19","Community District","412","6","Jamaica and Hollis (CD12)","27,814","11.8"
"2015-19","Community District","413","6","Queens Village (CD13)","14,413","7.2"
"2015-19","Community District","414","6","Rockaway and Broad Channel (CD14)","22,505","18.1"
"2015-19","Community District","501","6","St. George and Stapleton (CD1)","30,520","18.1"
"2015-19","Community District","502","6","South Beach and Willowbrook (CD2)","14,412","10.6"
"2015-19","Community District","503","6","Tottenville and Great Kills (CD3)","9,689","5.9"