Geography,Degrees Fahrenheit degrees Fahrenheit
Allerton-Pelham Gardens,100
Annadale-Huguenot-Prince's Bay-Eltingville,96
Arden Heights,98
Astoria,98
Auburndale,101
Baisley Park,102
Bath Beach,94
Battery Park City-Lower Manhattan,93
Bay Ridge,94
Bay Ridge and Dyker Heights (CD10),94
Bayside - Little Neck,97
Bayside and Little Neck (CD11),98
Bayside-Bayside Hills,100
Bedford,99
Bedford Park-Fordham North,97
Bedford Stuyvesant - Crown Heights,98
Bedford Stuyvesant (CD3),99
Bellerose,101
Belmont,99
Belmont and East Tremont (CD6),99
Bensonhurst - Bay Ridge,95
Bensonhurst (CD11),96
Bensonhurst East,97
Bensonhurst West,97
Borough Park,100
Borough Park,99
Borough Park (CD12),99
Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,94
Briarwood-Jamaica Hills,101
Brighton Beach,95
Bronx,97
Bronxdale,98
Brooklyn,99
Brooklyn Heights-Cobble Hill,96
Brownsville,101
Brownsville (CD16),101
Bushwick (CD4),100
Bushwick North,99
Bushwick South,101
Cambria Heights,102
Canarsie,99
Canarsie - Flatlands,96
Carroll Gardens-Columbia Street-Red Hook,97
Central Harlem - Morningside Heights,97
Central Harlem (CD10),98
Central Harlem North-Polo Grounds,98
Central Harlem South,98
Charleston-Richmond Valley-Tottenville,94
Chelsea - Clinton,98
Chinatown,98
Claremont-Bathgate,100
Clinton,98
Clinton and Chelsea (CD4),98
Clinton Hill,98
Co-op City,97
College Point,100
Coney Island - Sheepshead Bay,97
Coney Island (CD13),96
Corona,101
Crotona -Tremont,98
Crotona Park East,100
Crown Heights and Prospect Heights (CD8),98
Crown Heights North,98
Crown Heights South,97
Cypress Hills-City Line,99
Douglas Manor-Douglaston-Little Neck,97
Downtown - Heights - Slope,98
DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,98
Dyker Heights,96
East Concourse-Concourse Village,99
East Elmhurst,101
East Flatbush - Flatbush,98
East Flatbush (CD17),99
East Flatbush-Farragut,101
East Flushing,101
East Harlem,98
East Harlem (CD11),97
East Harlem North,98
East Harlem South,98
East New York,101
East New York,100
East New York (Pennsylvania Ave),101
East New York and Starrett City (CD5),100
East Tremont,100
East Village,98
East Williamsburg,100
Eastchester-Edenwald-Baychester,100
Elmhurst,101
Elmhurst and Corona (CD4),101
Elmhurst-Maspeth,100
Erasmus,99
Far Rockaway-Bayswater,96
Financial District (CD1),94
Flatbush,97
Flatbush and Midwood (CD14),99
Flatlands,101
Flatlands and Canarsie (CD18),98
Flushing,100
Flushing - Clearview,99
Flushing and Whitestone (CD7),99
Fordham - Bronx Pk,96
Fordham and University Heights (CD5),98
Fordham South,98
Forest Hills,99
Fort Greene,98
Fort Greene and Brooklyn Heights (CD2),98
Fresh Meadows,99
Fresh Meadows-Utopia,100
Ft. Totten-Bay Terrace-Clearview,98
Georgetown-Marine Park-Bergen Beach-Mill Basin,99
Glen Oaks-Floral Park-New Hyde Park,100
Glendale,98
Gramercy,100
Gramercy Park - Murray Hill,98
Grasmere-Arrochar-Ft. Wadsworth,95
Gravesend,97
Great Kills,99
Greenpoint,99
Greenpoint,100
Greenpoint and Williamsburg (CD1),100
Greenwich Village - SoHo,98
Greenwich Village and Soho (CD2),98
Grymes Hill-Clifton-Fox Hills,95
Hamilton Heights,95
Hammels-Arverne-Edgemere,94
High Bridge - Morrisania,99
Highbridge,98
Highbridge and Concourse (CD4),98
Hillcrest and Fresh Meadows (CD8),99
Hollis,102
Homecrest,100
Hudson Yards-Chelsea-Flatiron-Union Square,99
Hunters Point-Sunnyside-West Maspeth,99
Hunts Point,100
Hunts Point - Mott Haven,101
Hunts Point and Longwood (CD2),101
Jackson Heights,99
Jackson Heights (CD3),100
Jamaica,103
Jamaica,101
Jamaica and Hollis (CD12),102
Jamaica Estates-Holliswood,98
Kensington-Ocean Parkway,98
Kew Gardens,98
Kew Gardens and Woodhaven (CD9),101
Kew Gardens Hills,100
Kingsbridge - Riverdale,92
Kingsbridge Heights,97
Kingsbridge Heights and Bedford (CD7),97
Laurelton,102
Lenox Hill-Roosevelt Island,96
Lincoln Square,96
Lindenwood-Howard Beach,97
Long Island City - Astoria,99
Long Island City and Astoria (CD1),99
Longwood,101
Lower East Side,97
Lower East Side and Chinatown (CD3),98
Lower Manhattan,94
Madison,100
Manhattan,98
Manhattanville,97
Marble Hill-Inwood,97
Mariner's Harbor-Arlington-Port Ivory-Graniteville,100
Maspeth,100
Melrose South-Mott Haven North,101
Middle Village,98
Midtown (CD5),98
Midtown-Midtown South,97
Midwood,100
Morningside Heights,96
Morningside Heights and Hamilton Heights (CD9),95
Morris Park and Bronxdale (CD11),100
Morrisania and Crotona (CD3),99
Morrisania-Melrose,100
Mott Haven and Melrose (CD1),101
Mott Haven-Port Morris,100
Mount Hope,98
Murray Hill,100
Murray Hill-Kips Bay,98
New Brighton-Silver Lake,97
New Dorp-Midland Beach,99
New Springville-Bloomfield-Travis,97
New York City,99
North Corona,100
North Riverdale-Fieldston-Riverdale,94
North Side-South Side,99
Northeast Bronx,99
Norwood,96
Oakland Gardens,98
Oakwood-Oakwood Beach,96
Ocean Hill,101
Ocean Parkway South,100
Old Astoria,98
Old Town-Dongan Hills-South Beach,97
Ozone Park,101
Park Slope and Carroll Gardens (CD6),97
Park Slope-Gowanus,96
Parkchester,99
Parkchester and Soundview (CD9),98
Pelham - Throgs Neck,96
Pelham Bay-Country Club-City Island,97
Pelham Parkway,99
Pomonok-Flushing Heights-Hillcrest,101
Port Richmond,102
Port Richmond,99
Prospect Heights,97
Prospect Lefferts Gardens-Wingate,98
Queens,100
Queens Village,103
Queens Village (CD13),101
Queensboro Hill,100
Queensbridge-Ravenswood-Long Island City,100
Rego Park,100
Rego Park and Forest Hills (CD6),99
Richmond Hill,102
Ridgewood,96
Ridgewood - Forest Hills,97
Ridgewood and Maspeth (CD5),98
Riverdale and Fieldston (CD8),93
Rockaway and Broad Channel (CD14),95
Rockaways,93
Rosedale,99
Rossville-Woodrow,97
Rugby-Remsen Village,100
Schuylerville-Throgs Neck-Edgewater Park,98
Seagate-Coney Island,95
Sheepshead Bay (CD15),98
Sheepshead Bay-Gerritsen Beach-Manhattan Beach,96
SoHo-TriBeCa-Civic Center-Little Italy,99
Soundview-Bruckner,98
Soundview-Castle Hill-Clason Point-Harding Park,99
South Beach - Tottenville,95
South Beach and Willowbrook (CD2),95
South Crown Heights and Lefferts Gardens (CD9),98
South Jamaica,103
South Ozone Park,102
South Ozone Park and Howard Beach (CD10),100
Southeast Queens,101
Southwest Queens,100
Springfield Gardens North,102
Springfield Gardens South-Brookville,101
Spuyten Duyvil-Kingsbridge,96
St. Albans,102
St. George and Stapleton (CD1),98
Stapleton - St. George,95
Stapleton-Rosebank,96
Starrett City,95
Staten Island,97
Steinway,98
Stuyvesant Heights,98
Stuyvesant Town and Turtle Bay (CD6),97
Stuyvesant Town-Cooper Village,94
Sunset Park,96
Sunset Park (CD7),96
Sunset Park East,97
Sunset Park West,98
Throgs Neck and Co-op City (CD10),97
Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,98
Tottenville and Great Kills (CD3),95
Turtle Bay-East Midtown,97
Union Square - Lower East Side,98
University Heights-Morris Heights,98
Upper East Side,96
Upper East Side (CD8),97
Upper East Side-Carnegie Hill,97
Upper West Side,96
Upper West Side,96
Upper West Side (CD7),96
Van Cortlandt Village,96
Van Nest-Morris Park-Westchester Square,101
Washington Heights,94
Washington Heights and Inwood (CD12),94
Washington Heights North,95
Washington Heights South,96
West Brighton,96
West Concourse,98
West Farms-Bronx River,98
West New Brighton-New Brighton-St. George,97
West Queens,100
West Village,98
Westchester-Unionport,100
Westerleigh,99
Whitestone,100
Williamsbridge and Baychester (CD12),98
Williamsbridge-Olinville,99
Williamsburg,101
Williamsburg - Bushwick,101
Willowbrook,95
Windsor Terrace,96
Woodhaven,100
Woodlawn-Wakefield,99
Woodside,100
Woodside and Sunnyside (CD2),100
Yorkville,97